time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331280,c1e865,43.697002863479874,-79.63400704520092,,,,SAF208  ,True,False,False,,,,1656331272.118,1656331272.118
1656331280,aa395b,43.08535301079184,-79.1540745326451,195.24556167395608,301.0932090445435,0.0,SKW3017 ,False,False,False,1150,10972.800000000001,11346.18,1656331279.637,1656331279.981
1656331280,c038ac,43.67961502075195,-79.61787201637446,,,,ACA185  ,True,False,False,,,,1656331279.932,1656331279.932
1656331280,c1e95a,43.6881812144134,-79.62279183523995,,,,SWP269  ,True,False,False,,,,1656331269.733,1656331269.733
1656331280,c1e805,43.67481994628906,-79.65774536132812,,,,MTC27   ,True,False,False,,,,1656331279.717,1656331279.717
1656331280,c01e28,43.72484110169491,-79.59038870675226,77.8766951615217,226.60600298928225,-4.22656,ACA401  ,False,False,False,1076,411.48,411.48,1656331279.635,1656331279.935
1656331280,c04167,43.93916760460805,-79.49622017996654,95.59803653488053,325.96787218266167,4.55168,CFYTY   ,False,False,False,6353,5516.88,5608.32,1656331279.94,1656331279.94
1656331280,c08048,43.56056213378906,-79.66729452443673,155.40041105489672,133.25617065509755,6.1772800000000005,HRT119  ,False,False,False,6320,1744.98,1767.84,1656331279.547,1656331279.935
1656331280,c06973,43.930136470471396,-80.29259817940851,50.66685802987195,23.962488974578182,0.32512,CGNYG   ,False,False,False,1200,876.3000000000001,868.6800000000001,1656331279.335,1656331279.335
1656331280,a6f280,43.78504943847656,-79.49962527252904,85.89828461798106,235.73889710090543,0.0,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331279.717,1656331279.966
1656331280,c1e7e7,43.66703796386719,-79.62301387343297,,,,,True,False,False,,,,1656331270.121,1656331270.121
1656331280,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,152.4,144.78,1656331278.432,1656331279.89
1656331280,a1094c,43.232025146484375,-79.23448429551235,151.4476304096587,308.9333669263949,-7.80288,EDV4942 ,False,False,False,7135,4290.06,4358.64,1656331279.527,1656331279.863
1656331280,ac71e7,43.675357818603516,-79.59763992664426,,,,AAL1746 ,True,False,False,2237,144.78,,1656331279.716,1656331279.771
1656331280,c01d3c,43.678696195958025,-79.62154933384488,,,,WSW748  ,True,False,False,0533,,,1656331277.964,1656331277.964
1656331280,c07f2e,43.68871307373047,-79.63411198105922,,,,WEN3218 ,True,False,False,3414,,,1656331279.843,1656331279.843
1656331280,a70812,43.62236022949219,-79.6671667764353,103.61928953649277,220.57044070102233,7.152640000000001,JIA5117 ,False,False,False,0546,990.6,990.6,1656331279.941,1656331279.941
1656331290,c07f2e,43.68804155769995,-79.6332223074777,,,,WEN3218 ,True,False,False,3414,,,1656331289.673,1656331289.845
1656331290,a6f280,43.78014516022245,-79.50779506138394,85.10122911160944,230.1500823380198,-0.97536,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331289.608,1656331289.984
1656331290,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,152.4,144.78,1656331289.613,1656331289.845
1656331290,c01d3c,43.67817248328257,-79.62105887276783,,,,WSW748  ,True,False,False,0533,,,1656331286.524,1656331286.524
1656331290,a70812,43.61521911621094,-79.67566201853197,111.65449721386244,220.51539399045535,11.3792,JIA5117 ,False,False,False,0546,1074.42,1074.42,1656331289.608,1656331289.998
1656331290,ac71e7,43.674991607666016,-79.59767186364462,,,,AAL1746 ,True,False,False,2237,144.78,,1656331288.992,1656331289.845
1656331290,a1094c,43.24053955078125,-79.2487920716751,149.60063363129797,308.9982863651736,-7.80288,EDV4942 ,False,False,False,7135,4213.860000000001,4282.4400000000005,1656331289.632,1656331289.955
